Time Flux Fluxerr
1518.411165649 1.000769439 0.000851203
1518.431999619 0.998889667 0.000851964
1518.452833588 1.001644586 0.000850562
1518.473667556 0.998134104 0.000852165
1518.494501524 0.999193345 0.000851525
1518.515335492 0.999389864 0.000851561
1518.53616946 1.000649721 0.000850802
1518.557003427 1.000527642 0.000850891
1518.577837393 0.998474166 0.000851974
1518.598671359 1.00003782 0.000851302
1518.619505325 1.002283743 0.000850337
1518.64033929 0.999141327 0.000851556
1518.661173254 0.999411875 0.000851634
1518.682007219 0.998525856 0.000852029
1518.702841182 1.000403834 0.000851026
1518.723675145 1.000093773 0.000851427
1518.744509108 0.99993715 0.000851294
1518.76534307 1.001623518 0.000850632
1518.786177031 1.001543947 0.000850567
1518.807010992 1.000222052 0.000851207
1518.827844952 1.000177409 0.000851261
1518.848678912 1.000617049 0.000850997
1518.869512871 0.999377481 0.000851542
1518.89034683 1.000548773 0.000851063
1518.911180788 0.999429454 0.000851522
1518.932014746 0.994405603 0.000853663
1518.952848702 0.993952832 0.000854089
1518.973682659 0.9931648 0.00085433
1518.994516614 0.999097964 0.00085166
1519.015350569 0.998496896 0.000851762
1519.036184524 0.999282913 0.00085149
1519.057018478 1.001140942 0.000850614
1519.077852431 0.999755636 0.000851256
1519.098686383 1.001447656 0.000850413
1519.119520335 0.999296309 0.000851324
1519.140354287 0.999538595 0.000851234
1519.161188237 1.000042186 0.000850967
1519.182022187 1.000879342 0.000850556
1519.202856136 1.00046816 0.000850719
1519.223690085 1.001211194 0.000850333
1519.244524033 0.999752731 0.000851046
1519.265357981 0.999592473 0.000851078
1519.286191927 1.000230718 0.000850745
1519.307025873 0.998446691 0.00085156
1519.327859819 0.999711118 0.000850999
1519.348693763 1.000058987 0.000850899
1519.369527707 1.000108819 0.000850788
1519.390361651 0.999881959 0.000850985
1519.411195593 0.999477787 0.000851096
1519.432029535 0.999640245 0.000851128
1519.452863477 0.999218108 0.000851272
1519.473697417 0.999098878 0.000851459
1519.494531357 0.999855485 0.000850987
