period,duration,bls_ld,tcf_ld
0.5,0.5,0.01017241,0.01534483
1.0,0.5,0.01362069,0.02224138
4.0,0.5,0.01793103,0.03000000
7.0,0.5,0.01879310,0.02051724
10.0,0.5,0.02224138,0.02568966
13.0,0.5,NA,NA

0.5,1,0.01017241,0.03000000
1.0,1,0.008448276,0.009310345
4.0,1,0.01362069,0.01620690
7.0,1,0.01448276,0.01879310
10.0,1,0.01706897,0.01793103
13.0,1,0.01275862,0.01620690

0.5,2,0.008448276,0.009310345
1.0,2,0.008448276,0.010172414
4.0,2,0.009310345,0.011034483
7.0,2,0.01103448,0.01534483
10.0,2,0.01103448,0.01362069
13.0,2,0.008448276,0.009310345

0.5,3,0.007586207,0.016206897
1.0,3,0.007586207,0.012758621
4.0,3,0.007586207,0.009310345
7.0,3,0.008448276,0.013620690
10.0,3,0.009310345,0.011034483
13.0,3,0.005862069,0.010172414

0.5,4,0.03,0.03
1.0,4,0.007586207,0.010172414
4.0,4,0.006724138,0.009310345
7.0,4,0.006724138,0.013620690
10.0,4,0.008448276,0.012758621
13.0,4,0.005862069,0.010172414

0.5,5,0.03,0.03
1.0,5,0.006724138,0.011034483
4.0,5,0.006724138,0.010172414
7.0,5,0.005862069,0.011896552
10.0,5,0.008448276,0.012758621
13.0,5,0.00500000,0.01017241

0.5,6,0.03,0.03
1.0,6,0.006724138,0.015344828
4.0,6,0.006724138,0.009310345
7.0,6,0.005862069,0.011896552
10.0,6,0.007586207,0.012758621
13.0,6,0.005000000,0.008448276

